Section,Subsection,Text,Link,Exclude
,,To Do List,/to_do_list,
Editor,,Autobuild,/editor/autobuild,
Editor,,Extra Object Options,/editor/extra_object_options,
Editor,Colors & Layers,Color Assignment,/editor/colors_layers/color_assignment,
Editor,Colors & Layers,Color Channels,/editor/colors_layers/color_channels,
Editor,Colors & Layers,Color Sliders,/editor/colors_layers/color_sliders,
Editor,Colors & Layers,Other Color & Layering Options,/editor/colors_layers/other_color_and_layering_options,
Editor,Colors & Layers,Rendering Order,/editor/colors_layers/rendering_order,
Editor,Colors & Layers,Select Color Menu,/editor/colors_layers/select_color_menu,
Triggers,General,Durations,/triggers/general/durations,
Triggers,General,Easings,/triggers/general/easings,
Triggers,General,Game Loop,/triggers/general/game_loop,
Triggers,General,ID Limits,/triggers/general/id_limits,
Triggers,General,Target Behavior,/triggers/general/target_behavior,
Triggers,General,Trigger Activation,/triggers/general/trigger_activation,
Triggers,General,Trigger Channels,/triggers/general/trigger_channels,
Triggers,Animate,Animated Objects,/triggers/animate/animated_objects,
Triggers,Animate,Animate Trigger,/triggers/animate/animate_trigger,
Triggers,Animate,Edit Animation,/triggers/animate/edit_animation,
Triggers,Animate,Particle Object,/triggers/animate/particle_object,
Triggers,Animate,Spawn Particle,/triggers/animate/spawn_particle,
Triggers,Area,Area Stop,/triggers/area/area_stop,
Triggers,Area,Area Triggers,/triggers/area/area_triggers,
Triggers,Area,Edit Area Triggers,/triggers/area/edit_area_triggers,
Triggers,Area,Other Notable Interactions,/triggers/area/other_notable_interactions,
Triggers,Audio,BPM Guide,/triggers/audio/bpm_guide,
Triggers,Audio,Edit SFX,/triggers/audio/edit_sfx,
Triggers,Audio,Edit Song,/triggers/audio/edit_song,
Triggers,Audio,FMOD,/triggers/audio/fmod,
Triggers,Audio,Game Audio Settings,/triggers/audio/game_audio_settings,
Triggers,Audio,Loop,/triggers/audio/loop,
Triggers,Audio,Pitch & Speed,/triggers/audio/pitch_speed,
Triggers,Audio,Primary Song,/triggers/audio/primary_song,
Triggers,Audio,SFX,/triggers/audio/sfx,
Triggers,Audio,Song Guidelines,/triggers/audio/song_guidelines,
Triggers,Audio,Song Trigger,/triggers/audio/song_trigger,
Triggers,Audio,Volume Proximity,/triggers/audio/volume_proximity,
Triggers,Camera,Camera Edge,/triggers/camera/camera_edge,
Triggers,Camera,Camera Guide,/triggers/camera/camera_guide,
Triggers,Camera,Camera Mode,/triggers/camera/camera_mode,
Triggers,Camera,Default Camera Properties,/triggers/camera/default_camera_properties,
Triggers,Camera,Gameplay Offset,/triggers/camera/gameplay_offset,
Triggers,Camera,Offset Camera,/triggers/camera/offset_camera,
Triggers,Camera,Rotate Camera,/triggers/camera/rotate_camera,
Triggers,Camera,Static Camera,/triggers/camera/static_camera,
Triggers,Camera,Zoom Camera,/triggers/camera/zoom_camera,
Triggers,Collisions,Collision Objects,/triggers/collisions/collision_objects,
Triggers,Collisions,Collision Trigger,/triggers/collisions/collision_trigger,
Triggers,Collisions,Instant Collision Trigger,/triggers/collisions/instant_collision_trigger,
Triggers,Collisions,Performance Optimization,/triggers/collisions/performance_optimization,
Triggers,Collisions,State Blocks,/triggers/collisions/state_blocks,
Triggers,Follows,Advanced Follow,/triggers/follows/advanced_follow,
Triggers,Follows,Edit Advanced Follow,/triggers/follows/edit_advanced_follow,
Triggers,Follows,Follow,/triggers/follows/follow,
Triggers,Follows,Follow Player Y,/triggers/follows/follow_player_y,
Triggers,Follows,Retarget Advanced Follow,/triggers/follows/retarget_advanced_follow,
Triggers,Items,Count,/triggers/items/count,
Triggers,Items,Counter Labels,/triggers/items/counter_labels,
Triggers,Items,Instant Count,/triggers/items/instant_count,
Triggers,Items,Item Compare,/triggers/items/item_compare,
Triggers,Items,Item Edit,/triggers/items/item_edit,
Triggers,Items,Item Persist,/triggers/items/item_persist,
Triggers,Items,Pickup,/triggers/items/pickup,
Triggers,Items,Time,/triggers/items/time,
Triggers,Items,Time Control,/triggers/items/time_control,
Triggers,Items,Time Event,/triggers/items/time_event,
Triggers,Level,BG Effect On/Off,/triggers/level/bg_effect_on_off,
Triggers,Level,BG Speed,/triggers/level/bg_speed,
Triggers,Level,Change Background,/triggers/level/change_background,
Triggers,Level,Change Ground,/triggers/level/change_ground,
Triggers,Level,Change Middleground,/triggers/level/change_middleground,
Triggers,Level,MG Speed,/triggers/level/mg_speed,
Triggers,Level,Offset MG Y,/triggers/level/offset_mg_y,
Triggers,Misc,Collectibles,/triggers/misc/collectibles,
Triggers,Misc,End,/triggers/misc/end,
Triggers,Misc,Event,/triggers/misc/event,
Triggers,Misc,On Death,/triggers/misc/on_death,
Triggers,Misc,Options,/triggers/misc/options,
Triggers,Misc,Reset,/triggers/misc/reset,
Triggers,Misc,Stop,/triggers/misc/stop,
Triggers,Misc,Timewarp,/triggers/misc/timewarp,
Triggers,Misc,Toggle,/triggers/misc/toggle,
Triggers,Misc,Toggle Object,/triggers/misc/toggle_object,
Triggers,Player,Disable/Enable Player Trail,/triggers/player/disable_enable_player_trail,
Triggers,Player,Gameplay Arrow,/triggers/player/gameplay_arrow,
Triggers,Player,Gravity,/triggers/player/gravity,
Triggers,Player,Player Control,/triggers/player/player_control,
Triggers,Player,Reverse,/triggers/player/reverse,
Triggers,Player,Show/Hide Player,/triggers/player/show_hide_player,
Triggers,Shaders,Shaders,/triggers/shaders/shaders,
Triggers,Spawn,Activation Limits,/triggers/spawn/activation_limits,
Triggers,Spawn,Adv Random,/triggers/spawn/adv_random,
Triggers,Spawn,Random,/triggers/spawn/random,
Triggers,Spawn,Sequence,/triggers/spawn/sequence,
Triggers,Spawn,Spawn Remapping,/triggers/spawn/spawn_remapping,
Triggers,Spawn,Spawn Trigger,/triggers/spawn/spawn_trigger,
Triggers,Transforms,Animate Keyframe,/triggers/transforms/animate_keyframe,
Triggers,Transforms,Keyframe,/triggers/transforms/keyframe,
Triggers,Transforms,Move,/triggers/transforms/move,
Triggers,Transforms,Rotate,/triggers/transforms/rotate,
Triggers,Transforms,Scale,/triggers/transforms/scale,
Triggers,Visual,Alpha,/triggers/visual/alpha,
Triggers,Visual,Color,/triggers/visual/color,
Triggers,Visual,Enter Effects,/triggers/visual/enter_effects,
Triggers,Visual,Gradient,/triggers/visual/gradient,
Triggers,Visual,Link Visible,/triggers/visual/link_visible,
Triggers,Visual,Pulse,/triggers/visual/pulse,
Triggers,Visual,Shake,/triggers/visual/shake,
Triggers,Visual,UI,/triggers/visual/ui,
Triggers,Todo,Object Transform Tick Phase,/triggers/todo/object_transform_tick_phase,x
Bugs,,Overview,/bugs/README,
Bugs,,Advanced Follow,/bugs/advanced_follow,
Bugs,,Area Triggers,/bugs/area_triggers,
Bugs,,Arrow,/bugs/arrow,
Bugs,,Collisions,/bugs/collisions,
Bugs,,Editor,/bugs/editor,
Bugs,,Enter Effects,/bugs/enter_effects,
Bugs,,Events,/bugs/events,
Bugs,,Items & Timers,/bugs/items_and_timers,
Bugs,,Keyframes,/bugs/keyframes,
Bugs,,Misc,/bugs/misc,
Bugs,,Move Trigger,/bugs/move_trigger,
Bugs,,Particles,/bugs/particles,
Bugs,,Spawn Triggers,/bugs/spawn_triggers,
Bugs,,Todo,/bugs/todo,
Suggestions,,Overview,/suggestions/README,
Suggestions,,Advanced Follow,/suggestions/advanced_follow,
Suggestions,,Area Triggers,/suggestions/area_triggers,
Suggestions,,Misc,/suggestions/misc,
Suggestions,,Parameter to Item,/suggestions/parameter_to_item,
Suggestions,,Sequence Control,/suggestions/sequence_control,
