Category,Fixed,Version,Date,Platform,Short Description,Long Description,Suggestions,Workarounds,Video,Level ID,Excluded
Advanced Follow,false,2.208,Fri Jan 30 2026 00:00:00 GMT+0200 (Eastern European Standard Time),,Velocity Duplication,"Targets move way faster than they should if there are multiple Advanced Follows active, because the velocity movement is mistakenly applied again by every trigger.

Rotation is also duplicated when using Mode 3.","A solution to this bug would be for only the first Advanced Follow in a tick to move by the current velocity value, and subsequent ones to move by the difference in velocity.",,https://youtu.be/obZ-G22lizU,,
Advanced Follow,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Rotation and Object Groups,Advanced Follow movement breaks when using Rotation on targets part of linked objects or groups.,,,https://youtu.be/KJJ2YNqvOO8,,
Advanced Follow,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Timewarp Movement,"Mode 1 Advanced Follow triggers with no easing follow the target using easing if timewarp is less than 1.

The motion of Advanced Follow is inversely proportional with timewarp values less than 1. Due to how Mode 1 works, this multiplies the easing value of Mode 1 triggers, even if easing is equal to 0.

This behavior makes it impossible to perfectly match an object's movement with Advanced Follow while time is slown down.
This also affects Mode 2 movement that relies on moving objects for a single tick very fast with high speed and limited MaxRange or 100 Friction.",,,,,
Advanced Follow,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Speedup when using high Friction values,"Friction values over 100 can reverse the speed of an object, and if above 200 friction this speed will increase exponentially until the game crashes.",,,,,
Advanced Follow,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,StartSpeed and Speed are not multipliers,"StartSpeed and Speed are not multipliers when using a speed reference ID.
It is not clear to me whether this is intentional or a bug, as the only place where the multiplier is mentioned is on the editor guide.",,,,,
Advanced Follow,false,2.208,Sat Jan 31 2026 00:00:00 GMT+0200 (Eastern European Standard Time),,Options that do nothing,"The following options do nothing:
- MaxRange Reference ID
- Redirect Dir (Edit AdvFollow)
- SlowDist and SlowAccel (Mode 3)",,,,,
Advanced Follow,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,StartSpeed works on one target,"If there are multiple targets inside Target GID, StartSpeed applies on one target only.",,,,,
Advanced Follow,false,2.208,Fri Jan 30 2026 00:00:00 GMT+0200 (Eastern European Standard Time),,Physics issues when stopping instantly,"When an Advanced Follow target loses all velocity instantly, if the player clips into the target's hitbox it will boost the player. This behavior continues until the trigger is stopped.
Without DontBoostX/Y, the player's jump will be boosted everytime the player jumps off the target.
Using DontBoostX/Y is not enough to fix this issue, the player will also be forcibly teleported to the top of the object if clipped inside or hit from below.",,,,,
Advanced Follow,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Hitbox move delay,"Sometimes, the hitbox of the target object will be stuck in a previous position if Adv Follow movement is really fast.

Stopping the Adv Follow trigger fixes the hitbox position.",,,,,
Advanced Follow,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Mode 3 X/Y Only cannot steer if other modes are present,"When using X/Y Only on a Mode 3 trigger, the target is unable to steer if Mode 1 or 2 is present on the other axis.",,,,,
Advanced Follow,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Edit Advanced Follow random is between 0/+ instead of -/+,"The random variables in Edit Advanced Follow are always picked in a range between 0 and the given value, unlike other random settings.",,,,,
Advanced Follow,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Advanced Follow will not spawn if stopped then respawned in the same tick,"If an Advanced Follow instance is stopped, then it is spawned again before the next Advanced Follow movement, it will not be active.

This bug is caused by two mechanics:
- Advanced Follow doesn't stop instantly, it is marked as stopped until the next scheduled movement where it gets cleared
- Advanced Follow will not spawn if an instance of it is already active for the given remap",A potential fix for this would be for Advanced Follow to replace the previous instance if its waiting to be stopped.,,https://youtu.be/MNh11dOnu4U,115061026,
Area Triggers,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Ease Out conflict,"Ease Out is currently bugged and does not apply the effect properly to the radial proximity options.
If the two easings differ they will both apply and conflict \- the game will pick and apply one of them. This is most obvious with opposing easings.",,,,,
Area Triggers,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,ModBack / ModFront do nothing for the radial options,ModBack / ModFront are still displayed when used on the radial options despite doing nothing.,,,,,
Area Triggers,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Thin solid hitboxes when scale is negative,"When a solid object is scaled by a negative value, hitboxes become very thin and buggy. Spikes and other non-solid hitboxes are not affected.",,,,,
Area Triggers,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Area Fade stops working for a short duration after the game is unpaused,Unpausing the game undoes the effect of Area Fade for one frame.,,,,,
Area Triggers,false,2.208,Fri Jan 30 2026 00:00:00 GMT+0200 (Eastern European Standard Time),,Start Position multiplies Area effect,"Area effects are accumulated for every calculation when starting from a Start Position.
Only the first tick is affected, the effect is properly applied on the second one.
All Area triggers are affected.
With Area Scale and Area Move, this can crash your game.

### Scale / Rotate Bug

Scaling or Rotating an object by a large amount makes it impossible to undo the transformation if done inside the editor.
This makes all affected objects get their scale and rotation be completely different when stopping playtesting after the bug.",,,,,
Area Triggers,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,DEAP has no effect when used on Area Tint or Area Fade,"The center group is affected by Area Tint and Area Fade even with **DEAP** selected, **DEAP** effectively does nothing for these two triggers.",,,,,
Area Triggers,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Area Tint ignores Base / Detail Color,Area Tint ignores the Base / Detail Color setting of single-color objects.,,,,,
Area Triggers,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Edit Area with Duration 0 does not override an active Edit Area,Edit Area will override other active Edit Areas only if **Duration** \> 0\.,,,,,
Area Triggers,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Stop has no effect on Edit Area,"Stop does not work on Edit Area.
I am not sure if this is unimplemented or a side effect of how Edit Area was implemented.",,,,,
Area Triggers,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Area Scale / Rotate / Move visibility issues,"If an object stops being visible, Area Scale / Rotate / Move will stop applying in certain situation.

### Multiple Areas

Example [here](https://youtu.be/8IS5lFdIBus) and level ID in the video description.

### Flickering

Flickering is caused when a target goes off screen and ends up back on screen when the effect is undone every other tick.
Example [here](https://www.youtube.com/watch?v=JgN_ClrC5yk).

### Rendering

Objects with a hitbox that stop being visible once brought off-screen do not render properly if brough back instantly on-screen.",,,,,
Area Triggers,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Toggle Inconsistencies,"Toggle disables Area effects on the object only in very particular cases depending on the area settings.
This should be replaced by a dedicated **Ignore Disabled** feature as there is no logic or indication to this behavior.",,,,,
Area Triggers,false,2.207,Thu Dec 18 2025 00:00:00 GMT+0200 (Eastern European Standard Time),,Edit Area Tint / Fade doesn't pause in editor,"Edit Area Tint and Edit Area Fade do not get paused when pausing the editor playtest.

[Video](https://youtu.be/DKtR5YL6qAI?si=Zd47Lgf6qV_ZNnxk)",,,,,
